                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.86197,                0.58917,                 1.1494,                 0.9574,                0.93862,                0.96778,                0.74372,                 0.9026,                0.41511,                 1.1667,              0.0004625,              0.0004625,              0.0004625
                     37,                0.84931,                0.57216,                 1.1375,                0.96675,                0.91776,                0.96343,                 0.7459,                0.88409,                0.42817,                 1.1706,                0.00044,                0.00044,                0.00044
                     38,                0.84092,                0.56284,                 1.1363,                0.97553,                0.94263,                0.97012,                0.74642,                0.88793,                0.40109,                 1.1599,              0.0004175,              0.0004175,              0.0004175
                     39,                0.83161,                0.55376,                  1.128,                0.95248,                0.94818,                0.96624,                 0.7538,                0.90768,                0.40768,                 1.1713,               0.000395,               0.000395,               0.000395
                     40,                0.83962,                0.55057,                 1.1291,                 0.9568,                0.94437,                0.96859,                0.75613,                0.88006,                0.41785,                 1.1348,              0.0003725,              0.0003725,              0.0003725
                     41,                0.76712,                0.41453,                 1.0906,                0.95292,                0.92173,                0.96733,                0.75942,                0.91152,                0.42624,                 1.1579,                0.00035,                0.00035,                0.00035
                     42,                0.76147,                0.40308,                 1.0816,                0.94756,                0.93949,                0.96679,                0.77131,                0.84576,                0.40606,                 1.1194,              0.0003275,              0.0003275,              0.0003275
                     43,                0.74173,                0.38286,                 1.0703,                0.97489,                0.91966,                0.97053,                0.76446,                0.89261,                 0.4254,                 1.1532,               0.000305,               0.000305,               0.000305
                     44,                0.72283,                0.37231,                 1.0529,                0.96551,                0.92983,                0.96569,                0.75853,                0.86785,                0.39865,                 1.1548,              0.0002825,              0.0002825,              0.0002825
                     45,                0.70994,                0.36075,                 1.0498,                0.97907,                0.90317,                0.96521,                0.75761,                0.90785,                0.42083,                 1.1537,                0.00026,                0.00026,                0.00026
                     46,                0.70374,                  0.358,                 1.0492,                0.94663,                0.92432,                0.96801,                0.76556,                0.88373,                 0.4265,                 1.1318,              0.0002375,              0.0002375,              0.0002375
                     47,                0.69492,                0.34765,                 1.0383,                0.96117,                0.93568,                0.96738,                 0.7675,                0.87164,                0.40097,                 1.1349,               0.000215,               0.000215,               0.000215
                     48,                0.67697,                0.33272,                 1.0186,                0.95973,                0.93849,                0.96348,                0.75698,                0.89371,                 0.4215,                 1.1468,              0.0001925,              0.0001925,              0.0001925
                     49,                0.67384,                0.33164,                 1.0226,                0.95548,                0.93269,                0.96967,                0.76524,                0.90151,                0.40809,                  1.147,                0.00017,                0.00017,                0.00017
                     50,                 0.6468,                0.31463,                 1.0078,                0.95108,                0.92823,                0.97145,                0.77823,                0.87396,                0.40809,                 1.1417,              0.0001475,              0.0001475,              0.0001475
